DWA ID,y_pred,uncertainty
4.A.1.a.1.I01.D01,2.344997455967674,0.5950801020008187
4.A.1.a.1.I01.D04,1.8186344440725626,0.6393101590389523
4.A.1.a.1.I02.D08,3.0798317081624726,0.5708827824463132
4.A.1.a.1.I02.D09,2.712604421650498,0.5276572408942375
4.A.1.a.1.I02.D10,2.854844666601658,0.5487494623181721
4.A.1.a.1.I02.D13,2.692826801586121,0.5450455801022676
4.A.1.a.1.I04.D01,3.100016720975646,0.6057865321034139
4.A.1.a.1.I05.D02,1.9510198174331606,0.5977399416330575
4.A.1.a.1.I06.D02,2.6888943513873755,0.575354224152739
4.A.1.a.1.I12.D04,1.6833214935465703,0.53009537886029
4.A.1.a.1.I14.D02,3.247773694642782,0.5462282704900794
4.A.1.a.1.I20.D04,2.9525518767198555,0.5637433038367394
4.A.1.a.1.I23.D06,2.701639589366754,0.5826190495861887
4.A.1.a.1.I23.D07,1.5738990900147063,0.5355491056081507
4.A.1.a.1.I23.D08,1.7405805165082493,0.5141394427130743
4.A.1.a.2.I01.D05,3.3921292443838746,0.5507121507825463
4.A.1.a.2.I01.D07,3.380558412703628,0.5394192136019083
4.A.1.a.2.I01.D10,3.482486727032059,0.5319980720326392
4.A.1.a.2.I01.D12,2.8813811483590306,0.5845118624502934
4.A.1.a.2.I02.D06,2.8081615041421397,0.5717773838954292
4.A.1.a.2.I02.D10,3.1004491014841387,0.5921555337147808
4.A.1.a.2.I02.D12,2.727278653451341,0.5585804117574478
4.A.1.a.2.I05.D02,1.8341207304245344,0.524657491956154
4.A.1.a.2.I05.D07,2.746935352365803,0.5561718474309902
4.A.1.a.2.I06.D03,1.7473227890012941,0.5109968727554413
4.A.1.a.2.I06.D04,1.644302721872878,0.5238524716679853
4.A.1.a.2.I06.D05,1.6463534533616886,0.512297378938519
4.A.1.a.2.I06.D06,2.0929855664162007,0.5518051199201013
4.A.1.a.2.I06.D07,1.7118000387917418,0.5143800722833372
4.A.1.a.2.I07.D02,2.7148607230993393,0.5712393492864241
4.A.1.a.2.I07.D04,2.745806826577705,0.609247313627538
4.A.1.a.2.I07.D07,2.8361112874439875,0.5757926322928668
4.A.1.a.2.I07.D13,2.710117282559816,0.5854036047596871
4.A.1.a.2.I09.D05,2.4497512823462055,0.5794750449635231
4.A.1.a.2.I11.D07,1.7295460181977331,0.579037458001038
4.A.1.b.1.I01.D03,3.455187636669609,0.5699985037445394
4.A.1.b.1.I01.D04,3.775744764102547,0.5454379141039389
4.A.1.b.2.I03.D01,2.963469595724137,0.5959650109327743
4.A.1.b.2.I04.D01,2.9862337438986675,0.5795501071211593
4.A.1.b.2.I05.D01,2.673161093910521,0.5382104948934678
4.A.1.b.2.I05.D03,2.6265120348495117,0.5452816423325304
4.A.1.b.2.I05.D05,2.38015413752537,0.6013797737161726
4.A.1.b.2.I05.D11,2.5357889703359,0.5716967912623518
4.A.1.b.2.I05.D12,2.4521254812112505,0.5775810722700676
4.A.1.b.2.I06.D05,3.3352918857804132,0.5532488909813722
4.A.1.b.2.I06.D09,2.508879651204948,0.5677087610630833
4.A.1.b.2.I06.D12,2.5956216065491833,0.5775920935252765
4.A.1.b.2.I06.D17,2.938862600390676,0.5622563583429585
4.A.1.b.2.I07.D01,2.590688542549682,0.5872946968355555
4.A.1.b.2.I07.D05,3.0591584338521516,0.5729526482011007
4.A.1.b.2.I07.D14,2.6620936123851835,0.5930119962827529
4.A.1.b.2.I07.D15,3.2712912385309867,0.5439046818395656
4.A.1.b.2.I09.D02,2.8249973814956215,0.5875731095306111
4.A.1.b.2.I10.D01,3.6591632286484566,0.5449618987870544
4.A.1.b.2.I12.D01,3.014592480955847,0.5698388675452097
